Date,Open,High,Low,Close,Adj Close,Volume
2023-12-29,50.299999,50.57,49.77,50.25,50.103138,29266500
2023-12-28,50.810001,50.869999,50.16,50.389999,50.242729,27705200
2023-12-27,50.630001,51.279999,50.189999,50.759998,50.611649,52148000
2023-12-26,48.919998,50.52,48.709999,50.5,50.352409,60287400
2023-12-22,47.25,48.16,47.200001,48,47.859715,30053700
2023-12-21,46.48,47.119999,46.02,47.080002,46.942406,28320500
2023-12-20,46.639999,46.950001,45.700001,45.759998,45.626259,38159100
2023-12-19,45.599998,46.68,45.509998,46.66,46.523632,35358800
2023-12-18,46.150002,46.23,45.400002,45.689999,45.556465,27895700
2023-12-15,45.939999,47.27,45.669998,46.16,46.025093,84553800
2023-12-14,45.009998,47.07,44.650002,45.18,45.047958,70620800
2023-12-13,44.080002,44.720001,43.330002,44.57,44.439739,35216100
2023-12-12,44.360001,44.439999,43.630001,44.040001,43.911289,31452200
2023-12-11,43.16,44.73,43.080002,44.540001,44.409828,48288200
2023-12-08,41.84,42.959999,41.810001,42.700001,42.575207,42805900
2023-12-07,41.75,42.439999,41.18,42.150002,42.026814,29118700
2023-12-06,42.48,42.59,41.169998,41.27,41.149384,31992300
2023-12-05,41.91,42.290001,41.610001,41.919998,41.797482,31859300
2023-12-04,43.299999,43.310001,41.689999,42.349998,42.226227,50417600
2023-12-01,44.360001,44.360001,42.860001,43.740002,43.612167,43922500
2023-11-30,44.650002,45.09,44.41,44.700001,44.569363,46263000
2023-11-29,44.599998,45.34,44.599998,44.939999,44.808659,38982000
2023-11-28,43.689999,44.380001,43.66,44.23,44.100735,24548900
2023-11-27,43.650002,44.549999,43.650002,44.080002,43.951176,33339900
2023-11-24,43.68,44,43.610001,43.959999,43.83152,13037100
2023-11-22,44.029999,44.630001,43.540001,43.669998,43.54237,31481200
2023-11-21,44.5,44.66,43.299999,43.639999,43.512459,37252100
2023-11-20,43.779999,44.93,43.779999,44.740002,44.609245,44564900
2023-11-17,42.91,43.810001,42.560001,43.810001,43.681961,49735000
2023-11-16,41,43.400002,40.82,43.349998,43.223305,86405700
2023-11-15,39.59,40.84,39.580002,40.610001,40.491314,47392100
2023-11-14,38.799999,39.490002,38.07,39.41,39.294819,45457400
2023-11-13,38.349998,38.57,38.139999,38.23,38.118267,24558300
2023-11-10,38.240002,38.990002,38.240002,38.860001,38.746429,38862500
2023-11-09,38.049999,38.52,37.77,37.799999,37.689526,48955800
2023-11-08,38.849998,38.889999,37.75,37.919998,37.809174,33483400
2023-11-07,38.240002,38.900002,37.98,38.77,38.656693,32052000
2023-11-06,38.02,38.200001,37.849998,37.950001,37.839088,23877200
2023-11-03,38,38.32,37.669998,38.139999,37.903896,30493400
2023-11-02,37.580002,37.82,36.91,37.700001,37.466618,35440000
2023-11-01,36.5,37.32,36.279999,37.290001,37.059162,41710700
2023-10-31,35.66,36.57,35.619999,36.5,36.274048,41185200
2023-10-30,35.470001,35.959999,34.919998,35.689999,35.469059,36656300
2023-10-27,34.66,36.380001,34.599998,35.540001,35.319992,84128200
2023-10-26,32.889999,33.220001,32.150002,32.52,32.318687,59142500
2023-10-25,34.18,34.450001,32.549999,32.830002,32.62677,44658500
2023-10-24,33.639999,34.709999,33.639999,34.59,34.375874,52673900
2023-10-23,34.599998,35.189999,33.389999,33.849998,33.640453,53924700
2023-10-20,35.650002,36.279999,34.869999,34.919998,34.703827,32291800
2023-10-19,35.959999,36.360001,35.52,35.669998,35.449184,29201800
2023-10-18,35.52,36.02,35.450001,35.639999,35.419373,22086000
2023-10-17,35.919998,36.349998,35.07,36.060001,35.836773,24993600
2023-10-16,36.139999,36.939999,36.080002,36.560001,36.333679,29555800
2023-10-13,36.740002,36.790001,35.860001,35.970001,35.74733,28390100
2023-10-12,36.799999,37.220001,36.389999,36.84,36.611942,23639200
2023-10-11,36.619999,37.029999,36.380001,36.880001,36.651699,19262600
2023-10-10,36.139999,36.740002,35.810001,36.43,36.204479,24044100
2023-10-09,35.700001,36.169998,35.5,36.060001,35.836773,19376100
2023-10-06,35.869999,36.459999,35.18,36.189999,35.965965,33252300
2023-10-05,35.970001,36.099998,35.599998,35.889999,35.667824,25771200
2023-10-04,36.52,36.52,35.330002,35.93,35.707581,39842200
2023-10-03,35.27,36.540001,35.27,35.689999,35.469059,45292600
